Ticker,BEA,NAICS,Title
CYN,521CI,522110,"Federal Reserve banks, credit intermediation, and related activities"
CYNI,5415,541512,Computer systems design and related services
CYNO,334,334510,Computer and electronic products
CYS,525,525990,"Funds, trusts, and other financial vehicles"
CYTK,325,325412,Chemical products
CYTR,325,325414,Chemical products
CYTX,332,332994,Fabricated metal products
CZNC,521CI,522110,"Federal Reserve banks, credit intermediation, and related activities"
CZR,721,721110,Accommodation
D,22,221111,Utilities
DAL,481,481111,Air transportation
DAN,3361MV,336211,"Motor vehicles, bodies and trailers, and parts"
DATA,334,334614,Computer and electronic products
DAVE,711AS,711110,"Performing arts, spectator sports, museums, and related activities"
DBD,333,333316,Machinery
DCI,333,333413,Machinery
DCO,332,332912,Fabricated metal products
DCOM,521CI,522120,"Federal Reserve banks, credit intermediation, and related activities"
DCT,525,525990,"Funds, trusts, and other financial vehicles"
DDD,334,334614,Computer and electronic products
DDR,525,525990,"Funds, trusts, and other financial vehicles"
DE,332,332216,Fabricated metal products
DECK,315AL,316210,Apparel and leather and allied products
DEI,525,525990,"Funds, trusts, and other financial vehicles"
DEL,321,321113,Wood products
DELL,334,334111,Computer and electronic products
DENN,711AS,711110,"Performing arts, spectator sports, museums, and related activities"
DEPO,325,325412,Chemical products
DEST,4A0,448120,Other retail
DFRG,711AS,711110,"Performing arts, spectator sports, museums, and related activities"
DFS,521CI,522210,"Federal Reserve banks, credit intermediation, and related activities"
DGAS,22,221210,Utilities
DGI,485,485310,Transit and ground passenger transportation
DGICA,524,524126,Insurance carriers and related activities
